Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,31011,1990,31.8,33.5,30.9,29.8,27.6,25.8,25.9,26.9,27.4,29.7,31.5,31.6,29.4
IDCJAC0002,31011,1991,30.8,30.5,30.8,28.7,27.1,26.9,25.7,27,28.5,29.8,30.9,32.6,29.1
IDCJAC0002,31011,1992,32.9,32.2,31.5,28.9,28,26.4,25.7,27.1,29.3,29.5,31,30.8,29.4
IDCJAC0002,31011,1993,30.1,30.2,32.5,28.9,27.5,26.2,26.1,26.1,27.6,28.6,30.8,30.8,28.8
IDCJAC0002,31011,1994,33.6,31.2,31.1,29.3,27.5,26.7,25.3,25.6,27.3,29.3,30.8,31.6,29.1
IDCJAC0002,31011,1995,32.3,31,30.5,31.2,28,26.2,26.6,25.1,28.1,29.8,31.4,33.2,29.4
IDCJAC0002,31011,1996,32.3,31.3,30.3,30.6,28.4,27,25.5,26.9,28.5,30,30.4,31,29.3
IDCJAC0002,31011,1997,30.5,30.9,30.1,28.7,27.4,25.5,25.8,26,27.9,29.1,30.5,30.8,28.6
IDCJAC0002,31011,1998,31.5,32.1,31,31,28.8,27.5,27.1,28.5,29.4,30.6,30.8,31.7,30
IDCJAC0002,31011,1999,31.6,30.9,30.2,29,28.7,27,26.3,26.7,28.3,30.4,29.3,30,29
IDCJAC0002,31011,2000,31.3,30,29.9,28.9,27.8,24.9,25.7,26.6,29.1,30,30.4,29.2,28.7
IDCJAC0002,31011,2001,30.8,29.4,30.9,29.1,28.3,26.9,26.7,27.3,29,30,31.7,32.7,29.4
IDCJAC0002,31011,2002,32.4,32.6,31.6,29.9,28.1,27.1,26.5,27.2,28.6,30.7,31.6,31.8,29.8
IDCJAC0002,31011,2003,31.1,31.5,30.6,29.8,27.9,26.8,25.9,26.8,28.8,30.4,31.5,31.8,29.4
IDCJAC0002,31011,2004,31.9,31.5,30.3,28.5,28.2,26.4,26.2,26.9,28.3,29.8,30.7,30.8,29.1
IDCJAC0002,31011,2005,30.4,32.6,31.1,29.2,27.6,26.6,26,25.9,28.1,30.9,31.8,33.2,29.4
IDCJAC0002,31011,2006,31.5,32.2,30.4,28.9,27.5,26.1,25.6,26.6,28.1,28.6,31,30.8,28.9
IDCJAC0002,31011,2007,32,30.3,31.3,29.4,28.8,24.9,25,27.1,28.7,30.4,30.7,32.5,29.3
IDCJAC0002,31011,2008,32.2,31.1,29.5,29.5,27.5,26.8,25.6,26.9,28.9,29.9,32.1,32.6,29.4
IDCJAC0002,31011,2009,30.9,31.2,31.4,30.7,27.3,27.6,27,28.3,30,30.2,29.9,31.7,29.7
IDCJAC0002,31011,2010,31.1,32.2,31,29,28.4,27.8,27.5,28,29.9,29.7,30.5,31.7,29.7
IDCJAC0002,31011,2011,31.2,30.6,30.7,29.2,28,26.1,26,27.3,28,29.8,30.9,31.9,29.1
IDCJAC0002,31011,2012,31.5,31.9,30.2,29.7,27.4,26,25.8,27.2,28.9,29.9,31.3,32.8,29.4
IDCJAC0002,31011,2013,32.7,32.6,30.8,29.4,27.6,26.9,26.4,27.9,28.5,30.6,30.5,31,29.6
IDCJAC0002,31011,2014,31.7,30.2,30.1,29.6,27.8,26,26.2,26.6,28.9,30.3,31.9,32.6,29.3
IDCJAC0002,31011,2015,32.9,31.5,31.7,30.3,28.8,26.8,25.9,27.1,28.8,29,30.6,30.9,29.5
IDCJAC0002,31011,2016,32.2,33.2,31.8,30.4,29.2,27.6,27.2,26.8,29,29.8,32.1,32.5,30.2
IDCJAC0002,31011,2017,32.2,31.9,32.5,29.7,28.4,26.2,27,28.5,29.1,29.8,30.7,33.1,29.9
IDCJAC0002,31011,2018,31.8,30.9,30.4,30.6,28.1,26.7,26.8,28.1,29.5,30.4,33.7,31.8,29.9
IDCJAC0002,31011,2019,30.8,33,30.6,29.8,28.1,26.1,26,27,29.1,29.6,31.7,32.3,29.5
IDCJAC0002,31011,2020,32.2,33.5,31.3,30.7,27.5,27,26.3,27.9,28.9,31,32.1,32.9,30.1
IDCJAC0002,31011,2021,31,31.1,31.6,29.4,28.3,27.2,27.1,27.9,29.1,31.9,32.6,33.1,30
IDCJAC0002,31011,2022,32.4,32.5,32,30.5,28.6,27.2,25.6,27.6,30.1,31.7,32.7,31.3,30.2
IDCJAC0002,31011,2023,31.3,31.2,31,31.1,28.5,28.2,26.9,26.8,28.6,30.5,31.6,32.2,29.8
