Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,031222,2013,08,6.4,N
IDCJAC0001,031222,2013,09,48.8,N
IDCJAC0001,031222,2013,10,45.4,N
IDCJAC0001,031222,2013,11,147.8,N
IDCJAC0001,031222,2013,12,75.4,N
IDCJAC0001,031222,2014,01,424.2,N
IDCJAC0001,031222,2014,02,421.4,N
IDCJAC0001,031222,2014,03,410.2,N
IDCJAC0001,031222,2014,04,292.2,Y
IDCJAC0001,031222,2014,05,59.0,Y
IDCJAC0001,031222,2014,06,40.6,Y
IDCJAC0001,031222,2014,07,4.4,Y
IDCJAC0001,031222,2014,08,26.4,N
IDCJAC0001,031222,2014,09,2.8,N
IDCJAC0001,031222,2014,10,22.0,N
IDCJAC0001,031222,2014,11,26.4,N
IDCJAC0001,031222,2014,12,11.4,N
IDCJAC0001,031222,2015,01,252.8,N
IDCJAC0001,031222,2015,03,260.2,N
IDCJAC0001,031222,2015,04,113.6,N
IDCJAC0001,031222,2015,05,34.2,N
IDCJAC0001,031222,2015,06,248.6,N
IDCJAC0001,031222,2015,07,27.8,N
IDCJAC0001,031222,2015,08,11.0,N
IDCJAC0001,031222,2015,09,29.4,N
IDCJAC0001,031222,2015,10,49.6,N
IDCJAC0001,031222,2015,11,98.2,N
IDCJAC0001,031222,2015,12,330.6,N
IDCJAC0001,031222,2016,01,109.2,N
IDCJAC0001,031222,2016,02,126.8,N
IDCJAC0001,031222,2016,03,239.2,N
IDCJAC0001,031222,2016,04,187.0,N
IDCJAC0001,031222,2016,05,179.2,N
IDCJAC0001,031222,2016,06,43.0,N
IDCJAC0001,031222,2016,07,98.8,N
IDCJAC0001,031222,2016,08,36.4,N
IDCJAC0001,031222,2016,09,48.6,N
IDCJAC0001,031222,2016,10,52.2,N
IDCJAC0001,031222,2016,11,22.0,N
IDCJAC0001,031222,2016,12,67.6,N
IDCJAC0001,031222,2017,01,300.0,N
IDCJAC0001,031222,2017,02,522.2,N
IDCJAC0001,031222,2017,03,109.6,N
IDCJAC0001,031222,2017,04,251.8,N
IDCJAC0001,031222,2017,05,61.2,N
IDCJAC0001,031222,2017,06,33.0,N
IDCJAC0001,031222,2017,07,63.0,N
IDCJAC0001,031222,2017,08,2.0,N
IDCJAC0001,031222,2017,09,70.4,N
IDCJAC0001,031222,2017,10,183.8,N
IDCJAC0001,031222,2017,11,115.2,N
IDCJAC0001,031222,2017,12,45.4,N
IDCJAC0001,031222,2018,01,552.0,N
IDCJAC0001,031222,2018,02,375.2,N
IDCJAC0001,031222,2018,03,1000.6,Y
IDCJAC0001,031222,2018,04,52.2,Y
IDCJAC0001,031222,2018,05,42.0,N
IDCJAC0001,031222,2018,06,46.8,N
IDCJAC0001,031222,2018,07,54.8,N
IDCJAC0001,031222,2018,08,4.4,N
IDCJAC0001,031222,2018,09,13.2,N
IDCJAC0001,031222,2018,10,13.4,N
IDCJAC0001,031222,2018,11,24.2,N
IDCJAC0001,031222,2018,12,980.0,N
IDCJAC0001,031222,2019,01,683.6,N
IDCJAC0001,031222,2019,02,333.8,N
IDCJAC0001,031222,2019,03,365.2,N
IDCJAC0001,031222,2019,04,263.6,N
IDCJAC0001,031222,2019,05,102.0,N
IDCJAC0001,031222,2019,06,33.6,N
IDCJAC0001,031222,2019,07,51.8,N
IDCJAC0001,031222,2019,08,29.8,N
IDCJAC0001,031222,2019,09,0.4,N
IDCJAC0001,031222,2019,10,82.6,N
IDCJAC0001,031222,2019,11,3.4,N
IDCJAC0001,031222,2019,12,94.4,N
IDCJAC0001,031222,2020,01,665.8,Y
IDCJAC0001,031222,2020,02,208.4,N
IDCJAC0001,031222,2020,03,200.2,N
IDCJAC0001,031222,2020,04,35.0,N
IDCJAC0001,031222,2020,05,199.0,N
IDCJAC0001,031222,2020,06,46.8,N
