Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,031222,2013,08,27.4,Y
IDCJAC0002,031222,2013,09,28.6,Y
IDCJAC0002,031222,2013,10,30.4,Y
IDCJAC0002,031222,2013,11,31.1,Y
IDCJAC0002,031222,2013,12,31.3,Y
IDCJAC0002,031222,2014,01,31.7,Y
IDCJAC0002,031222,2014,02,30.4,Y
IDCJAC0002,031222,2014,03,30.2,Y
IDCJAC0002,031222,2014,04,29.6,Y
IDCJAC0002,031222,2014,05,27.8,Y
IDCJAC0002,031222,2014,06,25.8,Y
IDCJAC0002,031222,2014,07,26.2,Y
IDCJAC0002,031222,2014,08,26.4,Y
IDCJAC0002,031222,2014,09,29.3,Y
IDCJAC0002,031222,2014,10,30.2,Y
IDCJAC0002,031222,2014,11,32.4,Y
IDCJAC0002,031222,2014,12,33.1,Y
IDCJAC0002,031222,2015,01,33.5,Y
IDCJAC0002,031222,2015,02,31.8,Y
IDCJAC0002,031222,2015,03,31.6,Y
IDCJAC0002,031222,2015,04,30.3,Y
IDCJAC0002,031222,2015,05,28.5,Y
IDCJAC0002,031222,2015,06,26.4,Y
IDCJAC0002,031222,2015,07,25.6,Y
IDCJAC0002,031222,2015,08,27.1,Y
IDCJAC0002,031222,2015,09,28.6,Y
IDCJAC0002,031222,2015,10,28.8,Y
IDCJAC0002,031222,2015,11,31.0,Y
IDCJAC0002,031222,2015,12,30.8,Y
IDCJAC0002,031222,2016,01,32.7,Y
IDCJAC0002,031222,2016,02,33.8,Y
IDCJAC0002,031222,2016,03,31.8,Y
IDCJAC0002,031222,2016,04,30.0,Y
IDCJAC0002,031222,2016,05,29.2,Y
IDCJAC0002,031222,2016,06,27.5,Y
IDCJAC0002,031222,2016,07,26.7,Y
IDCJAC0002,031222,2016,08,26.4,Y
IDCJAC0002,031222,2016,09,29.2,Y
IDCJAC0002,031222,2016,10,29.9,Y
IDCJAC0002,031222,2016,11,32.4,Y
IDCJAC0002,031222,2016,12,32.2,Y
IDCJAC0002,031222,2017,01,32.5,Y
IDCJAC0002,031222,2017,02,32.1,Y
IDCJAC0002,031222,2017,03,32.8,Y
IDCJAC0002,031222,2017,04,29.4,Y
IDCJAC0002,031222,2017,05,28.1,Y
IDCJAC0002,031222,2017,06,25.7,Y
IDCJAC0002,031222,2017,07,26.5,Y
IDCJAC0002,031222,2017,08,28.1,Y
IDCJAC0002,031222,2017,09,28.9,Y
IDCJAC0002,031222,2017,10,29.8,Y
IDCJAC0002,031222,2017,11,30.3,Y
IDCJAC0002,031222,2017,12,32.8,Y
IDCJAC0002,031222,2018,01,32.0,Y
IDCJAC0002,031222,2018,02,31.5,Y
IDCJAC0002,031222,2018,03,30.5,Y
IDCJAC0002,031222,2018,04,30.5,Y
IDCJAC0002,031222,2018,05,27.5,Y
IDCJAC0002,031222,2018,06,26.3,Y
IDCJAC0002,031222,2018,07,26.6,Y
IDCJAC0002,031222,2018,08,27.7,Y
IDCJAC0002,031222,2018,09,29.3,Y
IDCJAC0002,031222,2018,10,30.9,Y
IDCJAC0002,031222,2018,11,33.9,Y
IDCJAC0002,031222,2018,12,32.1,Y
IDCJAC0002,031222,2019,01,30.8,Y
IDCJAC0002,031222,2019,02,33.1,Y
IDCJAC0002,031222,2019,03,30.7,Y
IDCJAC0002,031222,2019,04,29.4,Y
IDCJAC0002,031222,2019,05,27.6,Y
IDCJAC0002,031222,2019,06,25.3,Y
IDCJAC0002,031222,2019,07,25.4,Y
IDCJAC0002,031222,2019,08,26.4,Y
IDCJAC0002,031222,2019,09,29.0,Y
IDCJAC0002,031222,2019,10,29.7,Y
IDCJAC0002,031222,2019,11,31.8,Y
IDCJAC0002,031222,2019,12,32.2,Y
IDCJAC0002,031222,2020,01,32.6,Y
IDCJAC0002,031222,2020,02,33.9,Y
IDCJAC0002,031222,2020,03,31.2,Y
IDCJAC0002,031222,2020,04,30.9,Y
IDCJAC0002,031222,2020,05,27.1,Y
IDCJAC0002,031222,2020,06,26.4,Y
IDCJAC0002,031222,2020,07,25.7,Y
IDCJAC0002,031222,2020,08,27.1,Y
IDCJAC0002,031222,2020,09,28.0,Y
IDCJAC0002,031222,2020,10,30.1,Y
IDCJAC0002,031222,2020,11,31.5,Y
IDCJAC0002,031222,2020,12,32.4,Y
IDCJAC0002,031222,2021,01,31.2,Y
IDCJAC0002,031222,2021,02,31.3,Y
IDCJAC0002,031222,2021,03,31.3,Y
