Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,018192,1992,04,21.7,Y
IDCJAC0002,018192,1992,05,19.1,Y
IDCJAC0002,018192,1992,06,16.6,Y
IDCJAC0002,018192,1992,07,16.7,Y
IDCJAC0002,018192,1992,08,15.5,Y
IDCJAC0002,018192,1992,09,15.6,Y
IDCJAC0002,018192,1992,10,18.7,Y
IDCJAC0002,018192,1992,11,20.7,Y
IDCJAC0002,018192,1992,12,21.7,Y
IDCJAC0002,018192,1993,01,25.9,Y
IDCJAC0002,018192,1993,02,26.3,Y
IDCJAC0002,018192,1993,03,23.3,Y
IDCJAC0002,018192,1993,04,24.2,Y
IDCJAC0002,018192,1993,05,20.3,Y
IDCJAC0002,018192,1993,06,17.2,Y
IDCJAC0002,018192,1993,07,17.4,Y
IDCJAC0002,018192,1993,08,19.2,Y
IDCJAC0002,018192,1993,09,19.0,Y
IDCJAC0002,018192,1993,10,21.6,Y
IDCJAC0002,018192,1993,11,24.4,Y
IDCJAC0002,018192,1993,12,24.6,Y
IDCJAC0002,018192,1994,01,26.4,Y
IDCJAC0002,018192,1994,02,26.0,Y
IDCJAC0002,018192,1994,03,25.8,Y
IDCJAC0002,018192,1994,04,24.7,Y
IDCJAC0002,018192,1994,05,21.6,Y
IDCJAC0002,018192,1994,06,17.1,Y
IDCJAC0002,018192,1994,07,17.3,Y
IDCJAC0002,018192,1994,08,15.7,Y
IDCJAC0002,018192,1994,09,18.3,Y
IDCJAC0002,018192,1994,10,21.0,Y
IDCJAC0002,018192,1994,11,21.7,Y
IDCJAC0002,018192,1994,12,25.8,Y
IDCJAC0002,018192,1995,01,24.3,Y
IDCJAC0002,018192,1995,02,26.5,Y
IDCJAC0002,018192,1995,03,21.8,Y
IDCJAC0002,018192,1995,04,20.7,Y
IDCJAC0002,018192,1995,05,17.9,Y
IDCJAC0002,018192,1995,06,16.4,Y
IDCJAC0002,018192,1995,07,15.5,Y
IDCJAC0002,018192,1995,08,17.7,Y
IDCJAC0002,018192,1995,09,18.0,Y
IDCJAC0002,018192,1995,10,20.4,Y
IDCJAC0002,018192,1995,11,22.9,Y
IDCJAC0002,018192,1995,12,21.8,Y
IDCJAC0002,018192,1996,01,22.6,Y
IDCJAC0002,018192,1996,02,25.0,Y
IDCJAC0002,018192,1996,03,24.1,Y
IDCJAC0002,018192,1996,04,19.6,Y
IDCJAC0002,018192,1996,05,19.3,Y
IDCJAC0002,018192,1996,06,16.6,Y
IDCJAC0002,018192,1996,07,16.1,Y
IDCJAC0002,018192,1996,08,15.9,Y
IDCJAC0002,018192,1996,09,17.8,Y
IDCJAC0002,018192,1996,10,20.5,Y
IDCJAC0002,018192,1996,11,22.1,Y
IDCJAC0002,018192,1996,12,23.6,Y
IDCJAC0002,018192,1997,01,26.2,Y
IDCJAC0002,018192,1997,02,27.9,Y
IDCJAC0002,018192,1997,03,22.5,Y
IDCJAC0002,018192,1997,04,21.9,Y
IDCJAC0002,018192,1997,05,17.7,Y
IDCJAC0002,018192,1997,06,16.1,Y
IDCJAC0002,018192,1997,07,14.9,Y
IDCJAC0002,018192,1997,08,15.8,Y
IDCJAC0002,018192,1997,09,17.3,Y
IDCJAC0002,018192,1997,10,20.1,Y
IDCJAC0002,018192,1997,11,23.7,Y
IDCJAC0002,018192,1997,12,23.4,Y
IDCJAC0002,018192,1998,01,24.9,Y
IDCJAC0002,018192,1998,02,25.3,Y
IDCJAC0002,018192,1998,03,24.3,Y
IDCJAC0002,018192,1998,04,20.2,Y
IDCJAC0002,018192,1998,05,19.2,Y
IDCJAC0002,018192,1998,06,16.6,Y
IDCJAC0002,018192,1998,07,15.0,Y
IDCJAC0002,018192,1998,08,16.8,Y
IDCJAC0002,018192,1998,09,19.7,Y
IDCJAC0002,018192,1998,10,21.5,Y
IDCJAC0002,018192,1998,11,22.5,Y
IDCJAC0002,018192,1998,12,25.0,Y
IDCJAC0002,018192,1999,01,26.4,Y
IDCJAC0002,018192,1999,02,26.4,Y
IDCJAC0002,018192,1999,03,22.5,Y
IDCJAC0002,018192,1999,04,20.4,Y
IDCJAC0002,018192,1999,05,19.6,Y
IDCJAC0002,018192,1999,06,16.7,Y
IDCJAC0002,018192,1999,07,16.7,Y
IDCJAC0002,018192,1999,08,16.6,Y
IDCJAC0002,018192,1999,09,19.3,Y
IDCJAC0002,018192,1999,10,20.1,Y
IDCJAC0002,018192,1999,11,21.2,Y
IDCJAC0002,018192,1999,12,23.4,Y
IDCJAC0002,018192,2000,01,25.0,Y
IDCJAC0002,018192,2000,02,27.5,Y
IDCJAC0002,018192,2000,03,24.7,Y
IDCJAC0002,018192,2000,04,21.9,Y
IDCJAC0002,018192,2000,05,18.3,Y
IDCJAC0002,018192,2000,06,16.2,Y
IDCJAC0002,018192,2000,07,16.0,Y
IDCJAC0002,018192,2000,08,16.0,Y
IDCJAC0002,018192,2000,09,18.5,Y
IDCJAC0002,018192,2000,10,20.0,Y
IDCJAC0002,018192,2000,11,23.1,Y
IDCJAC0002,018192,2000,12,24.5,Y
IDCJAC0002,018192,2001,01,27.9,Y
IDCJAC0002,018192,2001,02,27.5,Y
IDCJAC0002,018192,2001,03,23.7,Y
IDCJAC0002,018192,2001,04,22.2,Y
IDCJAC0002,018192,2001,05,18.5,Y
IDCJAC0002,018192,2001,06,17.3,Y
IDCJAC0002,018192,2001,07,16.3,Y
IDCJAC0002,018192,2001,08,17.3,Y
IDCJAC0002,018192,2001,09,18.9,Y
IDCJAC0002,018192,2001,10,18.6,Y
IDCJAC0002,018192,2001,11,19.9,Y
IDCJAC0002,018192,2001,12,21.3,Y
IDCJAC0002,018192,2002,01,24.3,Y
IDCJAC0002,018192,2002,02,23.8,Y
IDCJAC0002,018192,2002,03,23.4,Y
IDCJAC0002,018192,2002,04,23.2,Y
IDCJAC0002,018192,2002,05,21.5,Y
IDCJAC0002,018192,2002,06,17.1,Y
IDCJAC0002,018192,2002,07,17.3,Y
IDCJAC0002,018192,2002,08,16.6,Y
IDCJAC0002,018192,2002,09,19.0,Y
IDCJAC0002,018192,2002,10,20.6,Y
IDCJAC0002,018192,2002,11,23.3,Y
IDCJAC0002,018192,2002,12,24.7,Y
IDCJAC0002,018192,2003,01,27.1,Y
IDCJAC0002,018192,2003,02,24.1,Y
IDCJAC0002,018192,2003,03,22.5,Y
IDCJAC0002,018192,2003,04,21.9,Y
IDCJAC0002,018192,2003,05,19.9,Y
IDCJAC0002,018192,2003,06,17.0,Y
IDCJAC0002,018192,2003,07,16.2,Y
IDCJAC0002,018192,2003,08,15.6,Y
IDCJAC0002,018192,2003,09,17.2,Y
IDCJAC0002,018192,2003,10,17.5,Y
IDCJAC0002,018192,2003,11,23.9,Y
IDCJAC0002,018192,2003,12,25.2,Y
IDCJAC0002,018192,2004,01,24.0,Y
IDCJAC0002,018192,2004,02,26.8,Y
IDCJAC0002,018192,2004,03,24.0,Y
IDCJAC0002,018192,2004,04,21.6,Y
IDCJAC0002,018192,2004,05,19.3,Y
IDCJAC0002,018192,2004,06,17.7,Y
IDCJAC0002,018192,2004,07,15.4,Y
IDCJAC0002,018192,2004,08,17.1,Y
IDCJAC0002,018192,2004,09,18.0,Y
IDCJAC0002,018192,2004,10,22.5,Y
IDCJAC0002,018192,2004,11,24.3,Y
IDCJAC0002,018192,2004,12,24.9,Y
IDCJAC0002,018192,2005,01,25.8,Y
IDCJAC0002,018192,2005,02,25.1,Y
IDCJAC0002,018192,2005,03,23.2,Y
IDCJAC0002,018192,2005,04,24.4,Y
IDCJAC0002,018192,2005,05,20.5,Y
IDCJAC0002,018192,2005,06,17.9,Y
IDCJAC0002,018192,2005,07,16.0,Y
IDCJAC0002,018192,2005,08,17.0,Y
IDCJAC0002,018192,2005,09,18.1,Y
IDCJAC0002,018192,2005,10,19.8,Y
IDCJAC0002,018192,2005,11,23.3,Y
