Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,018192,1992,null,null,null,21.7,19.1,16.6,16.7,15.5,15.6,18.7,20.7,21.7,null
IDCJAC0002,018192,1993,25.9,26.3,23.3,24.2,20.3,17.2,17.4,19.2,19.0,21.6,24.4,24.6,21.9
IDCJAC0002,018192,1994,26.4,26.0,25.8,24.7,21.6,17.1,17.3,15.7,18.3,21.0,21.7,25.8,21.8
IDCJAC0002,018192,1995,24.3,26.5,21.8,20.7,17.9,16.4,15.5,17.7,18.0,20.4,22.9,21.8,20.3
IDCJAC0002,018192,1996,22.6,25.0,24.1,19.6,19.3,16.6,16.1,15.9,17.8,20.5,22.1,23.6,20.3
IDCJAC0002,018192,1997,26.2,27.9,22.5,21.9,17.7,16.1,14.9,15.8,17.3,20.1,23.7,23.4,20.6
IDCJAC0002,018192,1998,24.9,25.3,24.3,20.2,19.2,16.6,15.0,16.8,19.7,21.5,22.5,25.0,20.9
IDCJAC0002,018192,1999,26.4,26.4,22.5,20.4,19.6,16.7,16.7,16.6,19.3,20.1,21.2,23.4,20.8
IDCJAC0002,018192,2000,25.0,27.5,24.7,21.9,18.3,16.2,16.0,16.0,18.5,20.0,23.1,24.5,21.0
IDCJAC0002,018192,2001,27.9,27.5,23.7,22.2,18.5,17.3,16.3,17.3,18.9,18.6,19.9,21.3,20.8
IDCJAC0002,018192,2002,24.3,23.8,23.4,23.2,21.5,17.1,17.3,16.6,19.0,20.6,23.3,24.7,21.2
IDCJAC0002,018192,2003,27.1,24.1,22.5,21.9,19.9,17.0,16.2,15.6,17.2,17.5,23.9,25.2,20.7
IDCJAC0002,018192,2004,24.0,26.8,24.0,21.6,19.3,17.7,15.4,17.1,18.0,22.5,24.3,24.9,21.3
IDCJAC0002,018192,2005,25.8,25.1,23.2,24.4,20.5,17.9,16.0,17.0,18.1,19.8,23.3,27.2,21.5
IDCJAC0002,018192,2006,26.5,24.0,24.9,20.1,18.1,15.6,15.5,18.7,21.1,22.9,23.5,25.1,21.3
IDCJAC0002,018192,2007,26.9,27.4,25.6,23.6,19.8,15.2,16.1,18.1,21.0,22.1,23.5,26.4,22.1
IDCJAC0002,018192,2008,25.9,24.4,27.9,22.0,20.1,17.5,15.3,14.9,19.7,22.7,21.6,23.7,21.3
IDCJAC0002,018192,2009,27.6,26.4,24.3,21.9,18.7,17.1,16.6,18.0,18.6,19.2,26.9,26.8,21.8
IDCJAC0002,018192,2010,26.7,26.4,24.4,22.5,20.1,16.7,15.9,15.6,16.3,20.0,21.8,24.2,20.9
IDCJAC0002,018192,2011,27.2,24.9,22.2,21.7,18.6,17.1,16.1,18.0,20.3,19.6,24.3,24.3,21.2
IDCJAC0002,018192,2012,27.2,25.6,25.0,24.0,19.0,16.3,15.6,16.7,19.1,22.1,25.0,25.8,21.8
IDCJAC0002,018192,2013,27.6,27.5,27.0,23.5,21.7,17.0,16.5,17.9,20.4,22.1,22.3,25.3,22.4
IDCJAC0002,018192,2014,27.7,26.3,24.6,22.9,21.4,17.0,15.8,16.7,20.1,24.4,24.1,24.0,22.1
IDCJAC0002,018192,2015,26.5,27.4,24.4,19.9,18.2,16.7,15.4,15.9,18.0,23.4,24.2,28.9,21.6
IDCJAC0002,018192,2016,26.9,24.4,24.2,23.4,20.4,16.4,15.6,17.5,17.1,20.3,21.9,26.2,21.2
IDCJAC0002,018192,2017,25.9,25.3,26.2,22.7,20.2,18.5,17.5,16.4,18.8,22.1,23.6,24.9,21.8
IDCJAC0002,018192,2018,27.7,27.0,25.8,25.3,19.9,16.7,16.8,16.5,18.3,21.1,23.1,26.3,22.0
IDCJAC0002,018192,2019,28.5,26.3,25.4,24.1,18.7,16.4,16.3,16.2,18.9,23.6,23.9,27.5,22.1
IDCJAC0002,018192,2020,26.5,24.8,24.6,22.3,18.0,16.4,16.0,16.2,19.2,20.1,25.2,23.0,21.0
IDCJAC0002,018192,2021,25.3,24.6,24.4,23.5,20.1,17.0,16.1,17.4,19.7,20.0,20.9,23.8,21.1
IDCJAC0002,018192,2022,25.6,24.0,24.3,22.1,19.6,16.8,15.3,16.5,16.7,19.8,21.8,23.7,20.5
IDCJAC0002,018192,2023,25.2,26.7,24.0,22.6,18.8,17.5,16.8,17.3,21.9,21.2,21.2,22.6,21.3
