Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,065070,1993,34.2,31.1,27.3,26.4,20.2,14.6,16.2,16.9,18.1,21.1,26.6,27.7,23.4
IDCJAC0002,065070,1994,33.3,30.6,26.2,24.4,20.2,15.8,16.3,17.0,20.1,25.2,28.3,33.8,24.3
IDCJAC0002,065070,1995,29.4,30.5,29.0,22.6,19.1,16.3,13.4,20.1,20.5,25.0,27.3,29.8,23.6
IDCJAC0002,065070,1996,31.5,30.1,28.1,23.4,20.5,16.7,13.8,16.1,19.3,23.6,26.2,30.3,23.3
IDCJAC0002,065070,1997,29.9,32.2,29.7,26.7,19.7,17.1,16.1,17.2,20.1,25.1,32.6,33.4,25.0
IDCJAC0002,065070,1998,33.0,33.1,32.0,24.6,18.1,15.2,13.3,16.6,20.0,22.0,25.3,31.7,23.7
IDCJAC0002,065070,1999,35.0,29.8,26.3,21.0,21.0,16.5,16.1,17.7,21.2,24.3,23.7,27.8,23.4
IDCJAC0002,065070,2000,28.8,31.4,27.6,22.5,17.9,14.7,15.2,16.2,22.9,23.0,25.9,31.1,23.1
IDCJAC0002,065070,2001,35.3,32.8,27.8,25.3,19.2,17.2,15.4,16.8,21.4,23.3,27.1,31.1,24.4
IDCJAC0002,065070,2002,33.0,29.4,28.8,26.4,19.9,17.0,17.3,19.3,22.6,27.2,32.7,32.8,25.5
IDCJAC0002,065070,2003,35.1,32.3,27.6,23.5,20.7,17.2,15.6,16.6,20.6,22.3,28.2,33.0,24.4
IDCJAC0002,065070,2004,34.8,35.8,30.3,26.4,19.5,16.0,14.8,16.7,20.6,25.5,28.7,30.8,25.0
IDCJAC0002,065070,2005,33.8,32.8,29.0,28.5,21.3,17.3,15.6,17.5,19.6,24.2,28.0,34.4,25.2
IDCJAC0002,065070,2006,36.0,34.8,30.3,23.6,19.7,16.5,15.7,18.6,24.0,28.3,31.4,32.4,25.9
IDCJAC0002,065070,2007,34.2,34.1,30.4,25.9,21.5,14.0,13.9,18.3,22.0,27.8,28.9,29.1,25.0
IDCJAC0002,065070,2008,31.4,28.1,29.2,23.8,21.1,18.0,15.9,15.5,21.3,25.7,26.8,30.3,23.9
IDCJAC0002,065070,2009,34.8,33.1,30.0,24.0,20.8,16.2,15.5,19.7,22.3,25.1,34.1,31.6,25.6
IDCJAC0002,065070,2010,33.4,29.9,28.1,24.1,19.7,15.8,15.6,14.9,19.5,23.1,25.9,27.9,23.2
IDCJAC0002,065070,2011,33.6,32.4,28.5,24.0,18.8,16.6,15.7,19.5,22.3,23.5,28.2,27.1,24.2
IDCJAC0002,065070,2012,29.9,28.9,27.1,25.4,19.8,16.3,15.9,17.6,22.6,26.0,30.7,33.9,24.5
IDCJAC0002,065070,2013,36.9,31.7,28.5,26.1,21.2,16.4,17.1,18.7,24.2,26.7,30.1,33.2,25.9
IDCJAC0002,065070,2014,34.2,33.0,27.8,24.8,20.8,16.2,15.6,17.9,22.1,28.8,33.3,32.3,25.6
IDCJAC0002,065070,2015,31.0,33.3,31.6,23.3,19.4,16.4,14.1,16.7,20.8,29.9,30.4,32.2,24.9
IDCJAC0002,065070,2016,32.3,33.3,31.3,27.8,20.1,14.9,15.2,16.5,18.4,22.4,29.0,33.8,24.6
IDCJAC0002,065070,2017,35.8,36.4,30.3,23.6,21.0,18.4,17.5,18.4,23.6,26.6,28.3,33.4,26.1
IDCJAC0002,065070,2018,36.0,33.8,32.6,29.1,21.2,17.1,17.5,18.3,22.8,26.5,28.2,33.8,26.4
IDCJAC0002,065070,2019,39.0,33.4,31.3,27.5,21.0,17.9,18.0,19.0,24.0,28.7,30.6,35.8,27.2
IDCJAC0002,065070,2020,37.7,29.8,26.9,22.7,18.7,16.8,15.8,16.2,22.1,26.0,31.5,30.6,24.6
IDCJAC0002,065070,2021,32.4,30.6,27.7,24.1,20.6,16.4,15.7,18.6,21.3,23.6,25.0,29.6,23.8
IDCJAC0002,065070,2022,31.1,30.8,29.2,24.3,19.4,15.1,15.8,16.9,19.0,22.0,24.6,28.8,23.1
IDCJAC0002,065070,2023,33.4,32.9,31.9,24.7,19.0,16.9,17.3,20.1,25.7,27.2,30.1,33.9,26.1
