Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,065070,1994,06,4.0,N
IDCJAC0001,065070,1994,07,51.0,N
IDCJAC0001,065070,1994,08,15.0,N
IDCJAC0001,065070,1994,09,8.8,N
IDCJAC0001,065070,1994,10,20.0,N
IDCJAC0001,065070,1994,11,46.8,N
IDCJAC0001,065070,1994,12,20.2,N
IDCJAC0001,065070,1995,01,191.0,N
IDCJAC0001,065070,1995,02,7.0,N
IDCJAC0001,065070,1995,04,0.6,N
IDCJAC0001,065070,1995,05,102.2,N
IDCJAC0001,065070,1995,06,13.0,N
IDCJAC0001,065070,1995,07,31.2,N
IDCJAC0001,065070,1995,08,0.4,N
IDCJAC0001,065070,1995,09,52.0,N
IDCJAC0001,065070,1995,10,24.4,N
IDCJAC0001,065070,1995,11,94.8,N
IDCJAC0001,065070,1995,12,58.0,N
IDCJAC0001,065070,1996,01,97.2,N
IDCJAC0001,065070,1996,02,30.2,N
IDCJAC0001,065070,1996,03,20.6,N
IDCJAC0001,065070,1996,04,0.2,N
IDCJAC0001,065070,1996,05,74.2,N
IDCJAC0001,065070,1997,06,17.2,N
IDCJAC0001,065070,1997,07,23.2,N
IDCJAC0001,065070,1997,08,13.8,N
IDCJAC0001,065070,1997,09,78.2,N
IDCJAC0001,065070,1997,10,30.8,N
IDCJAC0001,065070,1997,11,11.4,N
IDCJAC0001,065070,1997,12,37.2,N
IDCJAC0001,065070,1998,01,48.0,N
IDCJAC0001,065070,1998,02,31.0,N
IDCJAC0001,065070,1998,03,10.0,N
IDCJAC0001,065070,1998,04,84.4,N
IDCJAC0001,065070,1998,05,75.4,N
IDCJAC0001,065070,1998,06,82.4,N
IDCJAC0001,065070,1998,07,138.0,N
IDCJAC0001,065070,1998,08,151.6,N
IDCJAC0001,065070,1998,09,111.6,N
IDCJAC0001,065070,1998,10,46.4,N
IDCJAC0001,065070,1998,11,66.6,N
IDCJAC0001,065070,1998,12,5.6,N
IDCJAC0001,065070,1999,01,7.4,N
IDCJAC0001,065070,1999,02,9.0,N
IDCJAC0001,065070,1999,03,142.2,N
IDCJAC0001,065070,1999,04,38.6,N
IDCJAC0001,065070,1999,05,8.6,N
IDCJAC0001,065070,1999,06,36.6,N
IDCJAC0001,065070,1999,07,45.0,N
IDCJAC0001,065070,1999,08,75.6,N
IDCJAC0001,065070,1999,09,40.2,N
IDCJAC0001,065070,1999,10,109.2,N
IDCJAC0001,065070,1999,11,68.8,N
IDCJAC0001,065070,1999,12,77.2,N
IDCJAC0001,065070,2000,01,35.0,N
IDCJAC0001,065070,2000,02,25.6,N
IDCJAC0001,065070,2000,03,173.8,Y
IDCJAC0001,065070,2000,04,105.8,Y
IDCJAC0001,065070,2000,05,86.8,N
IDCJAC0001,065070,2000,06,18.4,N
IDCJAC0001,065070,2000,07,28.4,N
IDCJAC0001,065070,2000,08,29.4,N
IDCJAC0001,065070,2000,09,11.6,N
IDCJAC0001,065070,2000,10,77.4,N
