Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,065070,1993,01,34.2,Y
IDCJAC0002,065070,1993,02,31.1,Y
IDCJAC0002,065070,1993,03,27.3,Y
IDCJAC0002,065070,1993,04,26.4,Y
IDCJAC0002,065070,1993,05,20.2,Y
IDCJAC0002,065070,1993,06,14.6,Y
IDCJAC0002,065070,1993,07,16.2,Y
IDCJAC0002,065070,1993,08,16.9,Y
IDCJAC0002,065070,1993,09,18.1,Y
IDCJAC0002,065070,1993,10,21.1,Y
IDCJAC0002,065070,1993,11,26.6,Y
IDCJAC0002,065070,1993,12,27.7,Y
IDCJAC0002,065070,1994,01,33.3,Y
IDCJAC0002,065070,1994,02,30.6,Y
IDCJAC0002,065070,1994,03,26.2,Y
IDCJAC0002,065070,1994,04,24.4,Y
IDCJAC0002,065070,1994,05,20.2,Y
IDCJAC0002,065070,1994,06,15.8,Y
IDCJAC0002,065070,1994,07,16.3,Y
IDCJAC0002,065070,1994,08,17.0,Y
IDCJAC0002,065070,1994,09,20.1,Y
IDCJAC0002,065070,1994,10,25.2,Y
IDCJAC0002,065070,1994,11,28.3,Y
IDCJAC0002,065070,1994,12,33.8,Y
IDCJAC0002,065070,1995,01,29.4,Y
IDCJAC0002,065070,1995,02,30.5,Y
IDCJAC0002,065070,1995,03,29.0,Y
IDCJAC0002,065070,1995,04,22.6,Y
IDCJAC0002,065070,1995,05,19.1,Y
IDCJAC0002,065070,1995,06,16.3,Y
IDCJAC0002,065070,1995,07,13.4,Y
IDCJAC0002,065070,1995,08,20.1,Y
IDCJAC0002,065070,1995,09,20.5,Y
IDCJAC0002,065070,1995,10,25.0,Y
IDCJAC0002,065070,1995,11,27.3,Y
IDCJAC0002,065070,1995,12,29.8,Y
IDCJAC0002,065070,1996,01,31.5,Y
IDCJAC0002,065070,1996,02,30.1,Y
IDCJAC0002,065070,1996,03,28.1,Y
IDCJAC0002,065070,1996,04,23.4,Y
IDCJAC0002,065070,1996,05,20.5,Y
IDCJAC0002,065070,1996,06,16.7,Y
IDCJAC0002,065070,1996,07,13.8,Y
IDCJAC0002,065070,1996,08,16.1,Y
IDCJAC0002,065070,1996,09,19.3,Y
IDCJAC0002,065070,1996,10,23.6,Y
IDCJAC0002,065070,1996,11,26.2,Y
IDCJAC0002,065070,1996,12,30.3,Y
IDCJAC0002,065070,1997,01,29.9,Y
IDCJAC0002,065070,1997,02,32.2,Y
IDCJAC0002,065070,1997,03,29.7,Y
IDCJAC0002,065070,1997,04,26.7,Y
IDCJAC0002,065070,1997,05,19.7,Y
IDCJAC0002,065070,1997,06,17.1,Y
IDCJAC0002,065070,1997,07,16.1,Y
IDCJAC0002,065070,1997,08,17.2,Y
IDCJAC0002,065070,1997,09,20.1,Y
IDCJAC0002,065070,1997,10,25.1,Y
IDCJAC0002,065070,1997,11,32.6,Y
IDCJAC0002,065070,1997,12,33.4,Y
IDCJAC0002,065070,1998,01,33.0,Y
IDCJAC0002,065070,1998,02,33.1,Y
IDCJAC0002,065070,1998,03,32.0,Y
IDCJAC0002,065070,1998,04,24.6,Y
IDCJAC0002,065070,1998,05,18.1,Y
IDCJAC0002,065070,1998,06,15.2,Y
IDCJAC0002,065070,1998,07,13.3,Y
IDCJAC0002,065070,1998,08,16.6,Y
IDCJAC0002,065070,1998,09,20.0,Y
IDCJAC0002,065070,1998,10,22.0,Y
IDCJAC0002,065070,1998,11,25.3,Y
IDCJAC0002,065070,1998,12,31.7,Y
IDCJAC0002,065070,1999,01,35.0,Y
IDCJAC0002,065070,1999,02,29.8,Y
IDCJAC0002,065070,1999,03,26.3,Y
IDCJAC0002,065070,1999,04,21.0,Y
IDCJAC0002,065070,1999,05,21.0,Y
IDCJAC0002,065070,1999,06,16.5,Y
IDCJAC0002,065070,1999,07,16.1,Y
IDCJAC0002,065070,1999,08,17.7,Y
IDCJAC0002,065070,1999,09,21.2,Y
IDCJAC0002,065070,1999,10,24.3,Y
IDCJAC0002,065070,1999,11,23.7,Y
IDCJAC0002,065070,1999,12,27.8,Y
IDCJAC0002,065070,2000,01,28.8,Y
IDCJAC0002,065070,2000,02,31.4,Y
IDCJAC0002,065070,2000,03,27.6,Y
IDCJAC0002,065070,2000,04,22.5,Y
IDCJAC0002,065070,2000,05,17.9,Y
IDCJAC0002,065070,2000,06,14.7,Y
IDCJAC0002,065070,2000,07,15.2,Y
IDCJAC0002,065070,2000,08,16.2,Y
IDCJAC0002,065070,2000,09,22.9,Y
IDCJAC0002,065070,2000,10,23.0,Y
IDCJAC0002,065070,2000,11,25.9,Y
IDCJAC0002,065070,2000,12,31.1,Y
IDCJAC0002,065070,2001,01,35.3,Y
IDCJAC0002,065070,2001,02,32.8,Y
IDCJAC0002,065070,2001,03,27.8,Y
IDCJAC0002,065070,2001,04,25.3,Y
IDCJAC0002,065070,2001,05,19.2,Y
IDCJAC0002,065070,2001,06,17.2,Y
IDCJAC0002,065070,2001,07,15.4,Y
IDCJAC0002,065070,2001,08,16.8,Y
