Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,010111,1902,01,32.7,Y
IDCJAC0002,010111,1902,02,31.9,Y
IDCJAC0002,010111,1902,03,33.8,Y
IDCJAC0002,010111,1902,04,28.6,Y
IDCJAC0002,010111,1902,05,21.6,Y
IDCJAC0002,010111,1902,06,18.1,Y
IDCJAC0002,010111,1902,07,16.2,Y
IDCJAC0002,010111,1902,08,20.5,Y
IDCJAC0002,010111,1902,09,20.4,Y
IDCJAC0002,010111,1902,10,23.7,Y
IDCJAC0002,010111,1902,11,28.9,Y
IDCJAC0002,010111,1902,12,29.8,Y
IDCJAC0002,010111,1903,01,35.8,Y
IDCJAC0002,010111,1903,02,33.1,Y
IDCJAC0002,010111,1903,03,29.5,Y
IDCJAC0002,010111,1903,04,22.8,Y
IDCJAC0002,010111,1903,05,20.3,Y
IDCJAC0002,010111,1903,06,17.9,Y
IDCJAC0002,010111,1903,07,15.9,Y
IDCJAC0002,010111,1903,08,17.8,Y
IDCJAC0002,010111,1903,09,19.0,Y
IDCJAC0002,010111,1903,10,21.7,Y
IDCJAC0002,010111,1903,11,28.4,Y
IDCJAC0002,010111,1903,12,32.0,Y
IDCJAC0002,010111,1904,01,34.1,Y
IDCJAC0002,010111,1904,02,32.9,Y
IDCJAC0002,010111,1904,03,31.2,Y
IDCJAC0002,010111,1904,04,27.3,Y
IDCJAC0002,010111,1904,05,18.8,Y
IDCJAC0002,010111,1904,06,17.1,Y
IDCJAC0002,010111,1904,07,16.1,Y
IDCJAC0002,010111,1904,08,18.1,Y
IDCJAC0002,010111,1904,09,20.1,Y
IDCJAC0002,010111,1904,10,22.1,Y
IDCJAC0002,010111,1904,11,29.1,Y
IDCJAC0002,010111,1904,12,32.4,Y
IDCJAC0002,010111,1905,01,32.5,Y
IDCJAC0002,010111,1905,02,32.7,Y
IDCJAC0002,010111,1905,03,31.1,Y
IDCJAC0002,010111,1905,04,26.3,Y
