Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,010111,1902,32.7,31.9,33.8,28.6,21.6,18.1,16.2,20.5,20.4,23.7,28.9,29.8,25.5
IDCJAC0002,010111,1903,35.8,33.1,29.5,22.8,20.3,17.9,15.9,17.8,19.0,21.7,28.4,32.0,24.5
IDCJAC0002,010111,1904,34.1,32.9,31.2,27.3,18.8,17.1,16.1,18.1,20.1,22.1,29.1,32.4,24.9
IDCJAC0002,010111,1905,32.5,32.7,31.1,26.3,19.6,17.3,16.8,16.9,18.8,23.7,27.7,33.4,24.7
IDCJAC0002,010111,1906,34.9,33.3,31.9,28.6,21.4,18.1,16.1,17.1,18.2,23.8,28.6,34.3,25.5
IDCJAC0002,010111,1907,33.0,35.1,30.2,26.9,22.4,17.3,17.6,18.3,20.0,22.5,27.0,31.1,25.1
IDCJAC0002,010111,1908,33.1,32.2,28.3,24.3,20.0,15.6,16.6,17.3,20.6,24.9,28.4,34.1,24.6
IDCJAC0002,010111,1909,32.3,34.3,30.6,23.9,20.4,17.7,16.3,17.4,21.0,22.4,28.1,35.2,25.0
IDCJAC0002,010111,1910,34.2,34.7,31.7,27.8,19.7,16.6,null,17.7,20.7,21.6,27.7,31.0,null
IDCJAC0002,010111,1911,34.8,33.1,28.8,26.6,19.1,16.8,16.3,17.7,20.2,25.6,30.0,31.1,25.0
IDCJAC0002,010111,1912,34.9,34.8,32.0,27.2,21.7,18.0,16.3,18.7,18.5,24.1,28.1,33.0,25.6
IDCJAC0002,010111,1913,32.8,34.4,30.1,26.0,22.2,18.2,16.7,17.3,21.3,23.6,30.6,29.5,25.2
IDCJAC0002,010111,1914,36.2,33.4,31.0,24.7,21.0,18.1,16.4,21.0,24.7,27.2,28.0,33.4,26.3
IDCJAC0002,010111,1915,35.1,32.8,29.4,27.1,20.8,17.7,16.3,17.6,17.6,22.8,30.3,35.4,25.2
IDCJAC0002,010111,1916,31.4,32.0,30.9,26.0,21.4,16.3,15.3,16.6,22.4,22.6,28.3,32.6,24.7
IDCJAC0002,010111,1917,33.8,32.4,26.5,24.4,18.7,16.2,16.1,16.8,17.7,22.1,28.0,29.3,23.5
IDCJAC0002,010111,1918,35.4,31.2,28.7,26.8,20.3,17.6,17.0,16.9,22.1,23.1,29.1,33.5,25.1
IDCJAC0002,010111,1919,33.7,34.1,33.3,25.9,20.9,17.7,18.2,17.3,19.6,22.0,27.5,31.8,25.2
IDCJAC0002,010111,1920,35.0,33.9,31.1,27.0,20.2,16.5,15.8,16.2,21.5,25.0,31.3,31.7,25.4
IDCJAC0002,010111,1921,34.2,38.2,34.3,26.9,20.5,18.3,17.7,19.1,20.3,23.3,26.8,33.1,26.1
IDCJAC0002,010111,1922,33.2,32.3,32.0,26.9,20.7,16.6,15.2,17.9,20.4,24.3,28.6,28.6,24.7
IDCJAC0002,010111,1923,33.0,35.6,32.2,26.6,20.4,15.7,16.2,17.7,18.2,22.8,30.3,31.3,25.0
IDCJAC0002,010111,1924,32.5,32.5,28.3,28.1,20.7,16.3,16.2,16.4,19.2,20.8,26.9,33.0,24.2
IDCJAC0002,010111,1925,31.5,30.4,28.0,25.8,21.1,18.5,15.7,16.8,20.6,20.9,32.5,31.2,24.4
IDCJAC0002,010111,1926,36.4,32.0,28.2,23.3,19.4,17.7,15.2,15.9,20.8,21.8,26.6,30.3,24.0
IDCJAC0002,010111,1927,30.9,32.6,25.9,27.5,19.4,16.4,16.9,17.6,19.9,23.8,29.4,33.9,24.5
IDCJAC0002,010111,1928,33.2,33.0,29.7,27.0,22.3,18.5,17.1,18.4,19.4,21.5,29.5,32.2,25.1
IDCJAC0002,010111,1929,33.5,33.3,29.4,25.4,18.8,16.7,15.8,17.6,21.5,24.4,26.1,32.4,24.6
IDCJAC0002,010111,1930,36.0,34.6,31.9,25.7,23.1,18.9,17.4,17.7,21.2,23.8,28.4,31.4,25.8
IDCJAC0002,010111,1931,34.3,31.5,31.3,25.6,18.9,16.2,16.2,17.2,18.5,24.3,28.0,34.4,24.7
IDCJAC0002,010111,1932,35.8,34.6,29.6,24.9,21.7,18.0,16.8,16.1,21.1,22.3,27.9,32.1,25.1
IDCJAC0002,010111,1933,32.9,36.4,30.2,28.2,21.1,18.8,16.9,17.6,21.4,22.6,29.4,32.9,25.7
IDCJAC0002,010111,1934,35.5,35.4,29.8,23.2,23.1,17.3,16.7,18.7,20.3,23.3,25.8,30.7,25.0
IDCJAC0002,010111,1935,33.7,32.0,29.8,26.4,22.7,17.5,16.9,18.1,19.3,22.9,28.0,31.7,24.9
IDCJAC0002,010111,1936,32.9,33.3,33.1,26.5,20.6,17.2,16.6,18.1,23.0,23.9,30.0,32.6,25.7
IDCJAC0002,010111,1937,33.5,34.5,31.1,28.1,20.4,18.2,17.4,18.0,20.8,24.7,28.5,31.8,25.6
IDCJAC0002,010111,1938,33.1,32.2,29.5,26.2,21.7,17.7,17.1,18.3,22.4,24.3,28.9,32.1,25.3
IDCJAC0002,010111,1939,31.4,33.8,31.9,27.2,20.6,17.6,16.5,17.2,22.5,24.3,26.9,33.3,25.3
IDCJAC0002,010111,1940,32.1,36.1,31.7,26.2,21.3,20.1,18.2,19.9,21.7,24.4,29.7,30.1,26.0
IDCJAC0002,010111,1941,33.9,33.6,29.8,25.2,21.5,18.5,17.5,19.5,19.2,23.6,26.9,33.5,25.2
IDCJAC0002,010111,1942,33.5,33.1,28.3,24.8,20.7,17.4,16.6,17.6,19.8,22.7,30.2,31.3,24.7
IDCJAC0002,010111,1943,32.2,31.9,30.2,24.2,20.8,17.7,15.9,18.2,20.0,23.6,29.9,31.4,24.7
IDCJAC0002,010111,1944,35.4,34.9,30.1,25.0,20.0,19.4,17.1,18.9,21.1,26.8,29.0,28.3,25.5
IDCJAC0002,010111,1945,34.1,34.0,30.4,28.2,21.8,17.9,16.7,17.2,19.4,25.1,28.1,31.7,25.4
IDCJAC0002,010111,1946,32.1,31.5,29.0,27.4,20.7,17.2,16.3,17.3,22.6,26.8,26.0,31.4,24.9
IDCJAC0002,010111,1947,33.4,34.0,31.3,24.9,19.5,18.4,16.9,17.9,21.0,22.7,27.9,30.2,24.8
IDCJAC0002,010111,1948,35.5,34.6,33.3,23.8,23.1,18.2,17.1,19.6,20.8,24.1,27.1,29.9,25.6
IDCJAC0002,010111,1949,33.9,33.7,29.9,28.6,21.6,19.6,18.6,19.5,21.1,22.5,27.7,33.3,25.8
IDCJAC0002,010111,1950,35.3,34.2,33.4,28.3,21.1,18.5,17.7,18.8,20.1,22.2,24.6,29.9,25.3
IDCJAC0002,010111,1951,31.0,30.3,30.5,23.0,18.7,15.3,14.8,16.5,21.6,24.6,29.0,30.8,23.8
