Area Code,Area Code (M49),Area,Months Code,Months,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
5,'016,American Samoa,7001,January,7271,Temperature change,°c,0.624,-0.17,-0.004,0.283,-0.856,0.117,-0.131,0.093,0.343,0.025,-0.526,-0.814,0.398,-0.357,-0.317,-0.876,0.632,0.093,-0.055,0.201,0.548,0.268,0.536,-0.026,-0.325,0.208,0.473,0.791,-0.642,0.4,0.475,0.136,0.026,0.399,0.396,0.537,0.037,,-0.163,0.921,1.116,1.156,1.746,-0.063,0.966,-0.079,0.551,0.656,1.526,,0.208,0.666,0.611,0.636,1.076,1.946,1.796,0.846,1.596,1.296,1.196,1.296
5,'016,American Samoa,7001,January,6078,Standard Deviation,°c,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447
5,'016,American Samoa,7002,February,7271,Temperature change,°c,0.316,-0.05,0.189,0.351,-0.887,0.53,-0.5,-0.443,0.157,0.296,-0.634,-0.389,0.628,-0.851,-0.1,-0.719,0.877,0.38,0.239,0.492,-0.125,-0.14,1.169,0.409,0.317,0.34,0.914,0.853,-0.333,0.432,0.628,0.308,0.158,0.998,0.531,0.594,0.894,,-0.106,0.861,0.701,1.816,0.906,-0.406,1.364,0.062,0.796,1.146,1.821,1.137,-0.159,0.641,1.251,1.548,1.608,2.688,0.888,1.038,1.588,0.738,0.838,1.038
5,'016,American Samoa,7002,February,6078,Standard Deviation,°c,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505
5,'016,American Samoa,7003,March,7271,Temperature change,°c,-0.762,-0.055,-0.008,0.563,-0.673,0.626,0.146,-0.33,0.256,-0.471,-0.749,-0.107,0.965,-0.692,-0.033,-0.078,0.059,-0.378,0.628,0.569,-0.261,0.694,0.404,0.027,0.595,0.547,0.777,0.92,-0.016,0.21,0.999,-0.091,-0.091,0.872,0.779,0.628,0.128,,0.128,0.414,0.659,1.144,1.344,-0.372,1.324,0.779,0.739,0.669,1.639,2.06,0.664,0.379,1.109,1.269,1.519,1.749,1.899,1.349,1.299,1.699,1.049,1.999
5,'016,American Samoa,7003,March,6078,Standard Deviation,°c,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488
5,'016,American Samoa,7004,April,7271,Temperature change,°c,0.449,-0.087,0.422,0.373,-0.909,0.308,-0.446,-1.201,0.056,0.096,-0.658,-0.001,0.47,-0.688,-0.56,-0.208,0.234,-0.224,-0.193,0.738,-0.25,0.614,0.231,0.394,0.03,0.122,0.742,0.195,-0.106,-0.037,0.952,-0.094,0.18,0.463,0.341,0.741,,,0.541,0.851,0.646,1.096,0.541,-0.449,0.846,0.926,1.106,0.58,1.73,1.39,1.066,0.371,1.456,0.69,1.15,0.96,1.46,0.71,1.71,1.56,1.01,1.51
5,'016,American Samoa,7004,April,6078,Standard Deviation,°c,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,,,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507
5,'016,American Samoa,7005,May,7271,Temperature change,°c,0.203,-0.238,0.243,-0.505,-0.251,-0.005,-0.514,-0.395,-0.113,0.393,-0.431,-0.094,0.458,-0.844,-0.253,-0.402,-0.309,0.181,0.592,-0.263,0.262,0.379,0.558,0.864,0.265,0.184,0.256,0.679,0.155,0.865,0.303,0.61,0.21,0.335,0.777,0.314,,,-0.686,0.262,1.077,1.507,0.814,-0.358,0.347,1.432,0.682,0.59,,1.667,0.867,0.572,1.767,1.11,0.81,1.26,1.41,1.21,1.16,2.16,1.36,1.36
5,'016,American Samoa,7005,May,6078,Standard Deviation,°c,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,,,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387
