Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,082138,1987,05,15.0,Y
IDCJAC0002,082138,1987,06,14.5,Y
IDCJAC0002,082138,1987,07,11.9,Y
IDCJAC0002,082138,1987,08,14.8,Y
IDCJAC0002,082138,1987,09,18.0,Y
IDCJAC0002,082138,1987,10,20.7,Y
IDCJAC0002,082138,1987,11,25.8,Y
IDCJAC0002,082138,1987,12,28.7,Y
IDCJAC0002,082138,1988,01,33.6,Y
IDCJAC0002,082138,1988,02,30.5,Y
IDCJAC0002,082138,1988,03,27.8,Y
IDCJAC0002,082138,1988,04,24.3,Y
IDCJAC0002,082138,1988,05,18.1,Y
IDCJAC0002,082138,1988,06,13.7,Y
IDCJAC0002,082138,1988,07,13.3,Y
IDCJAC0002,082138,1988,08,14.6,Y
IDCJAC0002,082138,1988,09,17.8,Y
IDCJAC0002,082138,1988,10,20.5,Y
IDCJAC0002,082138,1988,11,23.4,Y
IDCJAC0002,082138,1988,12,28.4,Y
IDCJAC0002,082138,1989,01,29.3,Y
IDCJAC0002,082138,1989,02,30.8,Y
IDCJAC0002,082138,1989,03,27.4,Y
IDCJAC0002,082138,1989,04,22.0,Y
IDCJAC0002,082138,1989,05,18.2,Y
IDCJAC0002,082138,1989,06,12.7,Y
IDCJAC0002,082138,1989,07,12.1,Y
IDCJAC0002,082138,1989,08,12.5,Y
IDCJAC0002,082138,1989,09,16.9,Y
IDCJAC0002,082138,1989,10,19.6,Y
IDCJAC0002,082138,1989,11,26.0,Y
IDCJAC0002,082138,1989,12,29.3,Y
IDCJAC0002,082138,1990,01,31.6,Y
IDCJAC0002,082138,1990,02,28.8,Y
IDCJAC0002,082138,1990,03,29.1,Y
IDCJAC0002,082138,1990,04,22.2,Y
IDCJAC0002,082138,1990,05,17.2,Y
IDCJAC0002,082138,1990,06,12.7,Y
IDCJAC0002,082138,1990,07,12.2,Y
IDCJAC0002,082138,1990,08,13.1,Y
IDCJAC0002,082138,1990,09,17.2,Y
IDCJAC0002,082138,1990,10,21.5,Y
IDCJAC0002,082138,1990,11,26.3,Y
IDCJAC0002,082138,1990,12,30.5,Y
IDCJAC0002,082138,1991,01,31.8,Y
IDCJAC0002,082138,1991,02,32.9,Y
IDCJAC0002,082138,1991,03,27.6,Y
IDCJAC0002,082138,1991,04,22.5,Y
IDCJAC0002,082138,1991,05,19.0,Y
IDCJAC0002,082138,1991,06,15.4,Y
IDCJAC0002,082138,1991,07,12.8,Y
IDCJAC0002,082138,1991,08,13.0,Y
IDCJAC0002,082138,1991,09,16.1,Y
IDCJAC0002,082138,1991,10,23.0,Y
IDCJAC0002,082138,1991,11,25.4,Y
IDCJAC0002,082138,1991,12,27.9,Y
IDCJAC0002,082138,1992,01,28.5,Y
IDCJAC0002,082138,1992,02,29.4,Y
IDCJAC0002,082138,1992,03,28.5,Y
IDCJAC0002,082138,1992,04,22.9,Y
IDCJAC0002,082138,1992,05,16.7,Y
IDCJAC0002,082138,1992,06,13.4,Y
IDCJAC0002,082138,1992,07,12.2,Y
IDCJAC0002,082138,1992,08,12.8,Y
IDCJAC0002,082138,1992,09,14.5,Y
IDCJAC0002,082138,1992,10,20.2,Y
IDCJAC0002,082138,1992,11,21.4,Y
IDCJAC0002,082138,1992,12,26.6,Y
IDCJAC0002,082138,1993,01,29.9,Y
IDCJAC0002,082138,1993,02,28.4,Y
IDCJAC0002,082138,1993,03,25.0,Y
IDCJAC0002,082138,1993,04,23.8,Y
IDCJAC0002,082138,1993,05,17.3,Y
IDCJAC0002,082138,1993,06,12.9,Y
IDCJAC0002,082138,1993,07,13.5,Y
IDCJAC0002,082138,1993,08,15.3,Y
IDCJAC0002,082138,1993,09,17.4,Y
IDCJAC0002,082138,1993,10,19.1,Y
IDCJAC0002,082138,1993,11,24.0,Y
IDCJAC0002,082138,1993,12,26.5,Y
IDCJAC0002,082138,1994,01,29.3,Y
IDCJAC0002,082138,1994,02,30.0,Y
IDCJAC0002,082138,1994,03,24.6,Y
IDCJAC0002,082138,1994,04,22.6,Y
IDCJAC0002,082138,1994,05,17.5,Y
IDCJAC0002,082138,1994,06,14.1,Y
IDCJAC0002,082138,1994,07,13.4,Y
IDCJAC0002,082138,1994,08,14.4,Y
IDCJAC0002,082138,1994,09,16.4,Y
IDCJAC0002,082138,1994,10,21.9,Y
IDCJAC0002,082138,1994,11,25.2,Y
IDCJAC0002,082138,1994,12,32.5,Y
IDCJAC0002,082138,1995,01,30.3,Y
IDCJAC0002,082138,1995,02,30.0,Y
IDCJAC0002,082138,1995,03,25.8,Y
IDCJAC0002,082138,1995,04,19.1,Y
IDCJAC0002,082138,1995,05,16.5,Y
IDCJAC0002,082138,1995,06,13.4,Y
IDCJAC0002,082138,1995,07,11.0,Y
IDCJAC0002,082138,1995,08,15.8,Y
IDCJAC0002,082138,1995,09,17.2,Y
IDCJAC0002,082138,1995,10,20.1,Y
IDCJAC0002,082138,1995,11,23.3,Y
IDCJAC0002,082138,1995,12,26.4,Y
IDCJAC0002,082138,1996,01,30.1,Y
IDCJAC0002,082138,1996,02,27.8,Y
IDCJAC0002,082138,1996,03,25.9,Y
IDCJAC0002,082138,1996,04,19.3,Y
IDCJAC0002,082138,1996,05,17.4,Y
IDCJAC0002,082138,1996,06,14.1,Y
IDCJAC0002,082138,1996,07,11.7,Y
IDCJAC0002,082138,1996,08,13.5,Y
IDCJAC0002,082138,1996,09,16.3,Y
IDCJAC0002,082138,1996,10,21.1,Y
IDCJAC0002,082138,1996,11,22.4,Y
IDCJAC0002,082138,1996,12,27.1,Y
IDCJAC0002,082138,1997,01,32.1,Y
IDCJAC0002,082138,1997,02,35.0,Y
IDCJAC0002,082138,1997,03,26.6,Y
IDCJAC0002,082138,1997,04,23.2,Y
IDCJAC0002,082138,1997,05,17.2,Y
IDCJAC0002,082138,1997,06,14.4,Y
IDCJAC0002,082138,1997,07,13.0,Y
IDCJAC0002,082138,1997,08,13.7,Y
IDCJAC0002,082138,1997,09,17.7,Y
IDCJAC0002,082138,1997,10,22.3,Y
IDCJAC0002,082138,1997,11,27.7,Y
IDCJAC0002,082138,1997,12,31.3,Y
IDCJAC0002,082138,1998,01,32.5,Y
IDCJAC0002,082138,1998,02,31.9,Y
IDCJAC0002,082138,1998,03,29.4,Y
IDCJAC0002,082138,1998,04,21.8,Y
IDCJAC0002,082138,1998,05,17.4,Y
IDCJAC0002,082138,1998,06,13.8,Y
IDCJAC0002,082138,1998,07,12.1,Y
IDCJAC0002,082138,1998,08,15.5,Y
IDCJAC0002,082138,1998,09,17.7,Y
IDCJAC0002,082138,1998,10,18.9,Y
IDCJAC0002,082138,1998,11,23.8,Y
IDCJAC0002,082138,1998,12,30.0,Y
IDCJAC0002,082138,1999,01,34.6,Y
IDCJAC0002,082138,1999,02,30.7,Y
IDCJAC0002,082138,1999,03,26.7,Y
IDCJAC0002,082138,1999,04,21.1,Y
IDCJAC0002,082138,1999,05,17.7,Y
IDCJAC0002,082138,1999,06,14.0,Y
IDCJAC0002,082138,1999,07,14.2,Y
IDCJAC0002,082138,1999,08,15.4,Y
IDCJAC0002,082138,1999,10,21.3,Y
IDCJAC0002,082138,1999,11,23.6,Y
IDCJAC0002,082138,1999,12,27.7,Y
IDCJAC0002,082138,2000,01,28.9,Y
IDCJAC0002,082138,2000,02,33.1,Y
IDCJAC0002,082138,2000,03,28.1,Y
IDCJAC0002,082138,2000,04,22.9,Y
