Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,082138,1987,null,null,null,null,15.0,14.5,11.9,14.8,18.0,20.7,25.8,28.7,null
IDCJAC0002,082138,1988,33.6,30.5,27.8,24.3,18.1,13.7,13.3,14.6,17.8,20.5,23.4,28.4,22.2
IDCJAC0002,082138,1989,29.3,30.8,27.4,22.0,18.2,12.7,12.1,12.5,16.9,19.6,26.0,29.3,21.4
IDCJAC0002,082138,1990,31.6,28.8,29.1,22.2,17.2,12.7,12.2,13.1,17.2,21.5,26.3,30.5,21.9
IDCJAC0002,082138,1991,31.8,32.9,27.6,22.5,19.0,15.4,12.8,13.0,16.1,23.0,25.4,27.9,22.3
IDCJAC0002,082138,1992,28.5,29.4,28.5,22.9,16.7,13.4,12.2,12.8,14.5,20.2,21.4,26.6,20.6
IDCJAC0002,082138,1993,29.9,28.4,25.0,23.8,17.3,12.9,13.5,15.3,17.4,19.1,24.0,26.5,21.1
IDCJAC0002,082138,1994,29.3,30.0,24.6,22.6,17.5,14.1,13.4,14.4,16.4,21.9,25.2,32.5,21.8
IDCJAC0002,082138,1995,30.3,30.0,25.8,19.1,16.5,13.4,11.0,15.8,17.2,20.1,23.3,26.4,20.7
IDCJAC0002,082138,1996,30.1,27.8,25.9,19.3,17.4,14.1,11.7,13.5,16.3,21.1,22.4,27.1,20.6
IDCJAC0002,082138,1997,32.1,35.0,26.6,23.2,17.2,14.4,13.0,13.7,17.7,22.3,27.7,31.3,22.8
IDCJAC0002,082138,1998,32.5,31.9,29.4,21.8,17.4,13.8,12.1,15.5,17.7,18.9,23.8,30.0,22.1
IDCJAC0002,082138,1999,34.6,30.7,26.7,21.1,17.7,14.0,14.2,15.4,null,21.3,23.6,27.7,null
IDCJAC0002,082138,2000,28.9,33.1,28.1,22.9,15.9,13.1,13.1,14.4,17.5,19.6,26.5,30.3,21.9
IDCJAC0002,082138,2001,34.8,32.2,26.6,23.3,18.1,14.7,14.6,15.1,19.8,19.2,24.5,27.3,22.5
IDCJAC0002,082138,2002,31.2,28.7,28.8,24.4,18.8,14.6,13.5,15.4,18.9,22.5,29.2,31.1,23.1
IDCJAC0002,082138,2003,33.8,32.9,28.1,22.2,18.3,13.3,13.2,13.4,15.9,17.7,25.9,30.4,22.1
IDCJAC0002,082138,2004,30.0,33.5,29.3,23.4,16.5,13.0,12.4,14.7,16.9,22.1,25.6,28.3,22.1
IDCJAC0002,082138,2005,30.6,26.6,26.6,25.8,19.6,16.1,13.5,15.1,17.4,20.6,25.2,29.0,22.2
IDCJAC0002,082138,2006,34.9,31.9,30.1,19.7,17.1,14.6,14.3,16.1,20.2,25.1,28.8,30.9,23.6
IDCJAC0002,082138,2007,32.8,34.0,28.9,24.5,18.5,13.6,12.3,16.5,18.1,23.7,28.5,29.8,23.4
IDCJAC0002,082138,2008,33.6,28.2,29.4,21.5,17.1,16.0,12.8,13.7,19.0,24.3,25.2,27.1,22.3
IDCJAC0002,082138,2009,34.6,33.2,28.0,22.0,18.7,13.8,13.1,14.8,17.4,21.3,30.6,31.0,23.2
IDCJAC0002,082138,2010,34.1,31.3,27.0,22.3,18.1,13.7,13.2,12.9,16.5,20.7,25.2,26.7,21.8
IDCJAC0002,082138,2011,31.2,28.2,25.6,20.9,16.2,14.7,13.3,16.3,18.4,21.7,26.5,28.1,21.8
IDCJAC0002,082138,2012,31.6,29.3,24.5,22.6,16.5,13.8,13.5,13.9,18.2,21.3,27.6,29.6,21.9
IDCJAC0002,082138,2013,34.3,32.9,28.4,22.6,17.0,14.9,14.0,14.7,19.3,21.2,25.1,30.3,22.9
IDCJAC0002,082138,2014,33.7,32.7,28.0,21.5,17.5,14.1,12.5,15.9,18.8,24.2,27.7,29.9,23.0
IDCJAC0002,082138,2015,30.2,32.8,27.1,21.7,16.9,13.3,12.2,14.0,18.2,26.5,27.4,31.6,22.7
IDCJAC0002,082138,2016,30.8,32.3,30.8,25.3,17.5,13.0,13.2,14.6,16.3,19.3,25.4,30.1,22.4
IDCJAC0002,082138,2017,33.2,30.9,30.4,22.1,17.3,14.2,12.7,13.4,17.1,22.5,28.4,29.8,22.7
IDCJAC0002,082138,2018,34.3,31.3,28.9,26.4,18.1,14.1,13.5,13.9,18.2,24.7,26.1,31.7,23.4
IDCJAC0002,082138,2019,36.3,31.6,28.4,24.5,16.8,14.4,13.4,13.6,17.5,23.9,26.3,32.7,23.3
IDCJAC0002,082138,2020,32.7,30.9,26.2,20.2,16.0,13.4,13.8,14.1,18.7,22.2,28.7,28.8,22.1
IDCJAC0002,082138,2021,31.9,28.6,25.6,22.5,18.6,13.6,12.3,15.1,17.8,19.9,23.1,29.4,21.5
IDCJAC0002,082138,2022,31.6,29.8,27.5,22.4,17.2,12.8,14.0,14.8,16.7,19.9,21.7,27.6,21.3
IDCJAC0002,082138,2023,31.5,30.6,27.4,21.2,15.3,13.4,13.7,15.8,20.3,20.4,27.3,29.8,22.2
